"NOMBRE_ERROR"|"DEPARTAMENTO"|"MUNICIPIO"|"A01"|"IdIntegrante"|"TIPO"|"CAPITULO"|"FECHA_ARCHIVO"|"FECHA_VALIDACION"
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20000138|2000585|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20000138|2000584|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20000138|2000583|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20000845|2003709|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ANDES"|20001132|2004990|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ANDES"|20001132|2004992|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ANDES"|20001132|2004989|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20001358|2005998|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ANDES"|20001132|2004991|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20001358|2005995|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20001358|2005999|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20001358|2005996|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20001358|2005997|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20001358|2006000|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20001358|2006001|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ANDES"|20002669|2011533|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20002533|2010913|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20002533|2010914|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ANDES"|20002669|2011532|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ANDES"|20002669|2011530|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20002533|2010915|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20002533|2010916|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"CÁCERES"|20003461|2014633|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"CÁCERES"|20003461|2014638|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ANDES"|20002669|2011531|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"CÁCERES"|20003461|2014632|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ANGOSTURA"|20003169|2013538|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"CÁCERES"|20003461|2014635|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ANGOSTURA"|20003169|2013537|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"CÁCERES"|20003461|2014631|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"CÁCERES"|20003461|2014636|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ANGOSTURA"|20003169|2013536|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"CÁCERES"|20003461|2014637|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20005518|2023133|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20005518|2023132|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"FRONTINO"|20006121|2025493|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20005518|2023131|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20005477|2022962|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"APARTADÓ"|20006943|2028686|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"APARTADÓ"|20006943|2028689|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20005477|2022961|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"APARTADÓ"|20006943|2028687|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"APARTADÓ"|20006943|2028690|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"FRONTINO"|20006121|2025492|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"FRONTINO"|20006121|2025495|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ARBOLETES"|20008091|2033340|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"CAREPA"|20006288|2026181|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"CAREPA"|20006288|2026182|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"CAREPA"|20006343|2026387|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"FRONTINO"|20006121|2025490|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"FRONTINO"|20006121|2025491|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"FRONTINO"|20006121|2025494|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"FRONTINO"|20006121|2025496|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ARBOLETES"|20008091|2033337|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20008310|2034207|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20008310|2034208|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ARBOLETES"|20008091|2033339|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ANZÁ"|20010018|2041212|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"APARTADÓ"|20006943|2028688|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ANZÁ"|20010535|2043264|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"APARTADÓ"|20010592|2043481|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ARGELIA"|20010983|2044968|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ANORÍ"|20011118|2045413|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"ANZÁ"|20010535|2043261|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"APARTADÓ"|20010592|2043482|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"ANTIOQUIA"|"MEDELLÍN"|20008310|2034206|"Valor admisible"|"C"|2021-09-30|2021-10-07
